image_name,point_0_x,point_0_y,point_1_x,point_1_y,point_2_x,point_2_y,point_3_x,point_3_y,point_4_x,point_4_y,point_5_x,point_5_y,point_6_x,point_6_y,point_7_x,point_7_y,point_8_x,point_8_y,point_9_x,point_9_y,point_10_x,point_10_y,point_11_x,point_11_y,point_12_x,point_12_y,point_13_x,point_13_y,point_14_x,point_14_y,point_15_x,point_15_y,point_16_x,point_16_y,point_17_x,point_17_y,point_18_x,point_18_y,point_19_x,point_19_y,point_20_x,point_20_y
palm_100_keypoints,1205,3844.49,1417.46,3669.52,1579.93,3469.56,1598.68,3263.34,1548.69,3082.13,1417.46,3207.11,1398.72,2950.9,1398.72,2769.68,1379.97,2607.21,1267.49,3207.11,1242.49,2900.91,1211.25,2707.2,1167.51,2525.98,1136.26,3244.6,1098.77,2957.15,1073.77,2769.68,1042.53,2613.46,992.54,3307.09,955.047,3063.38,942.549,2932.16,936.3,2788.43
palm_101_keypoints,631.479,4203.12,758.102,4022.23,902.813,3817.22,920.902,3612.21,806.339,3425.29,770.161,3563.97,697.805,3322.79,619.419,3153.96,547.063,3033.36,625.449,3582.06,516.915,3292.64,456.618,3129.84,372.203,2985.13,480.737,3630.3,396.322,3371.02,348.084,3208.22,299.847,3081.6,342.055,3708.69,275.728,3479.56,251.61,3371.02,221.461,3238.37
palm_102_keypoints,736.348,3526.53,946.914,3392.54,1157.48,3213.87,1208.53,2977.79,1151.1,2773.6,1036.24,2926.74,1049.01,2665.13,1036.24,2467.32,1004.34,2295.04,876.725,2913.98,889.487,2594.94,870.344,2390.75,838.44,2192.95,723.587,2952.26,736.348,2626.84,729.967,2441.8,723.587,2263.14,551.306,2965.02,570.448,2728.94,576.829,2588.56,589.59,2435.42
palm_103_keypoints,653.932,3856.38,844.672,3703.79,1022.7,3506.69,1054.49,3277.8,965.474,3093.42,863.746,3252.37,863.746,2998.05,819.24,2807.31,768.376,2648.36,711.154,3258.73,698.438,2947.19,660.29,2750.09,603.068,2572.07,583.994,3271.45,552.204,2991.69,520.414,2813.67,494.982,2654.72,450.476,3347.74,405.97,3106.14,393.254,2959.9,380.538,2826.39
palm_104_keypoints,1098.08,3920.42,1311.08,3726.22,1467.69,3525.75,1480.22,3319.01,1517.81,3156.13,1311.08,3306.48,1304.81,3068.43,1267.22,2886.75,1260.96,2736.4,1160.72,3312.75,1123.14,3024.57,1110.61,2842.9,1091.81,2680.02,1022.9,3325.28,997.843,3068.43,972.785,2911.81,966.52,2755.19,910.138,3375.4,860.02,3162.4,853.756,3037.1,860.02,2918.07
palm_105_keypoints,1629.98,4038.64,1841.77,3906.28,2007.22,3714.35,2093.26,3542.27,2099.88,3343.72,1888.09,3442.99,1901.33,3217.97,1901.33,3045.89,1901.33,2887.05,1742.49,3436.38,1749.11,3171.64,1755.73,2973.09,1742.49,2814.25,1623.36,3456.23,1629.98,3211.35,1629.98,3032.66,1629.98,2893.67,1484.38,3535.65,1477.76,3310.63,1477.76,3178.26,1484.38,3065.75
palm_106_keypoints,801.589,3293.19,975.266,3160.04,1131.58,2934.26,1137.37,2702.69,1067.89,2500.06,992.634,2702.69,963.688,2453.75,905.795,2274.28,836.324,2117.97,847.903,2731.63,790.01,2413.22,743.696,2216.39,685.804,2042.71,703.172,2772.16,651.068,2476.9,627.911,2297.44,598.965,2129.55,564.23,2824.26,535.283,2586.9,506.337,2453.75,500.548,2314.81
palm_107_keypoints,994.463,4460.81,1151.83,4303.45,1295.51,4111.87,1411.82,3892.93,1576.02,3783.46,1227.09,3838.2,1240.77,3571.36,1206.56,3393.47,1186.04,3208.74,1090.25,3817.67,1083.41,3502.94,1076.57,3297.69,1035.51,3126.64,967.095,3831.35,967.095,3523.47,967.095,3352.42,946.57,3195.06,816.574,3851.88,796.048,3632.94,796.048,3509.79,809.732,3366.11
palm_108_keypoints,550.552,2280.4,621.377,2209.57,678.713,2125.25,722.557,2013.96,800.128,1943.13,638.241,1990.35,634.868,1852.07,614.632,1761.01,587.651,1673.32,564.042,1986.98,550.552,1828.46,543.806,1720.54,523.57,1632.85,499.962,1986.98,496.589,1835.21,489.844,1747.52,476.353,1666.57,439.254,2003.84,419.018,1889.17,419.018,1828.46,419.018,1757.63
palm_109_keypoints,555.477,2286.64,637.906,2224.81,699.727,2128.65,758.115,2039.35,850.847,1987.83,641.34,1994.7,637.906,1853.88,613.864,1764.59,582.953,1675.29,558.911,1987.83,552.042,1829.84,528,1719.94,503.958,1627.2,497.089,2001.57,483.351,1847.01,473.047,1750.85,462.744,1664.98,421.529,2022.18,390.618,1908.84,380.315,1843.58,366.577,1768.02
palm_10_keypoints,1021.2,4278.74,1257.95,4064.18,1457.7,3812.64,1546.48,3538.9,1635.26,3339.15,1287.54,3479.72,1250.55,3191.18,1220.96,3006.22,1191.36,2821.26,1117.38,3472.32,1072.99,3131.99,1043.4,2932.24,1013.8,2747.28,954.615,3494.51,917.623,3191.18,895.428,3006.22,888.03,2828.66,777.055,3553.7,769.657,3309.55,762.258,3176.38,769.657,3028.42
palm_110_keypoints,1111.7,4541.21,1236.65,4367.66,1368.55,4159.4,1403.26,3944.2,1507.39,3763.71,1174.18,3971.97,1111.7,3680.4,1042.28,3492.97,945.093,3340.25,1007.57,3985.85,931.209,3694.29,840.963,3472.15,757.66,3284.71,882.615,4034.44,785.428,3756.77,722.95,3576.28,667.415,3381.9,764.602,4110.81,632.705,3916.43,577.169,3770.65,549.402,3631.81
palm_111_keypoints,1154.58,4526.7,1290.15,4336.91,1405.38,4153.89,1459.61,3923.43,1568.06,3740.41,1235.92,3943.76,1161.36,3665.85,1086.8,3496.39,1005.46,3333.71,1073.24,3970.88,971.568,3665.85,890.228,3448.95,808.888,3279.49,924.119,4004.77,849.558,3726.86,774.996,3557.4,727.548,3360.83,808.888,4092.89,693.656,3882.76,639.429,3753.97,591.981,3611.63
palm_112_keypoints,1105.18,4521.69,1194.28,4261.25,1283.37,4041.94,1283.37,3822.62,1283.37,3623.87,1029.79,3898.01,1016.08,3651.28,1002.38,3486.8,974.962,3342.87,954.401,3973.4,892.719,3685.55,892.719,3486.8,844.744,3322.31,892.719,4041.94,796.768,3767.79,783.061,3603.31,748.793,3431.97,851.597,4144.74,776.208,3973.4,728.232,3843.18,693.964,3706.11
palm_113_keypoints,1074.77,4471.54,1195.09,4271.02,1302.03,4070.5,1335.45,3849.92,1375.55,3642.72,1074.77,3903.4,1021.3,3649.4,1001.25,3475.62,934.41,3321.89,927.726,3923.45,867.57,3649.4,827.466,3455.57,760.626,3275.1,847.518,4003.66,747.258,3736.3,693.786,3562.51,640.314,3382.04,767.31,4083.86,667.05,3930.13,593.526,3809.82,546.738,3662.77
palm_114_keypoints,1232,4454.38,1393.52,4245.75,1541.58,4077.5,1622.35,3882.32,1777.14,3761.18,1306.03,3889.05,1245.46,3606.39,1211.81,3431.41,1131.05,3269.89,1151.24,3902.51,1077.21,3606.39,1023.37,3397.76,962.796,3216.04,1023.37,3956.36,942.606,3680.42,888.765,3498.71,848.385,3323.73,949.336,4050.58,834.924,3868.86,774.354,3754.45,720.513,3599.66
palm_115_keypoints,1132.03,4434.17,1287.94,4237.59,1443.85,4068.12,1518.41,3864.76,1674.32,3715.63,1206.59,3864.76,1145.58,3586.84,1118.47,3410.59,1043.9,3247.9,1037.13,3871.54,976.117,3586.84,928.666,3376.7,860.879,3200.45,915.109,3932.55,840.543,3654.62,786.314,3478.38,745.642,3288.57,847.322,4034.23,732.084,3857.98,664.297,3729.19,630.404,3586.84
palm_116_keypoints,986.803,4517.3,1143.65,4421.83,1259.59,4258.16,1368.7,4074.03,1559.65,3978.55,1198.21,3992.19,1205.03,3705.77,1184.57,3508,1150.47,3323.87,1041.36,3964.91,1041.36,3610.29,1041.36,3392.06,1041.36,3214.75,904.968,3964.91,932.246,3617.11,932.246,3439.8,939.066,3276.13,761.755,3985.37,707.198,3760.32,686.739,3603.47,666.28,3453.44
palm_117_keypoints,1345.13,4663.47,1567.57,4589.32,1797.43,4470.69,1997.62,4300.15,2234.89,4240.83,1775.18,4151.86,1953.13,3922,2056.94,3766.3,2123.67,3588.35,1604.65,4070.3,1760.35,3758.88,1841.91,3580.93,1901.23,3380.74,1441.52,4055.47,1515.67,3744.05,1574.99,3551.27,1641.72,3373.32,1263.57,4092.54,1219.08,3833.03,1219.08,3677.32,1226.5,3521.61
palm_118_keypoints,1336.49,4658.66,1555.47,4590.7,1774.46,4462.33,1985.89,4281.1,2189.78,4220.69,1744.25,4130.07,1895.28,3873.33,1993.44,3699.65,2031.2,3518.42,1578.13,4077.21,1706.5,3760.06,1789.56,3571.28,1872.62,3367.4,1404.45,4054.56,1479.96,3744.96,1540.37,3556.18,1623.43,3359.85,1238.32,4099.87,1223.22,3835.57,1223.22,3677,1253.42,3510.87
palm_119_keypoints,1339.12,4696.34,1562.31,4617.15,1799.91,4494.75,1994.3,4314.75,2224.69,4257.16,1771.11,4163.56,1936.7,3918.77,2008.7,3745.97,2059.1,3573.18,1598.31,4105.96,1727.91,3810.77,1821.51,3601.98,1886.3,3400.38,1432.72,4091.56,1504.72,3781.97,1555.11,3587.58,1634.31,3400.38,1259.92,4134.76,1252.72,3875.57,1252.72,3709.97,1259.92,3565.98
palm_11_keypoints,1061.8,4280.26,1295.76,4038.76,1529.71,3804.81,1620.27,3555.76,1680.65,3321.81,1310.85,3487.84,1303.3,3148.23,1258.02,2944.46,1227.83,2748.25,1122.18,3487.84,1114.63,3095.4,1076.9,2869,1031.62,2642.59,956.147,3495.39,941.053,3148.23,933.506,2944.46,910.866,2748.25,782.569,3548.21,775.022,3268.98,759.928,3125.59,767.475,2952.01
palm_120_keypoints,1312.94,4742.39,1514.82,4634.24,1731.12,4482.84,1904.16,4288.17,2106.03,4201.65,1673.44,4180.02,1759.96,3906.04,1803.22,3718.58,1803.22,3538.34,1507.61,4129.55,1594.13,3826.73,1630.18,3610.44,1673.44,3408.56,1348.99,4115.13,1406.67,3826.73,1449.93,3632.07,1507.61,3444.61,1212,4165.6,1197.58,3927.67,1212,3769.05,1226.42,3624.86
palm_121_keypoints,1305.52,4757.2,1500.01,4634.75,1680.09,4461.87,1831.36,4238.56,2025.85,4123.31,1608.06,4173.73,1694.5,3871.19,1730.52,3669.5,1730.52,3503.82,1435.18,4144.92,1435.18,3777.55,1391.96,3561.45,1363.15,3374.16,1262.3,4173.73,1197.47,3842.38,1147.05,3647.89,1139.84,3438.99,1096.62,4245.77,988.573,4015.26,923.743,3878.4,873.32,3712.72
palm_122_keypoints,1327.6,4778.49,1542.35,4649.64,1721.32,4470.67,1857.33,4248.76,2057.77,4134.22,1613.94,4191.49,1678.37,3862.2,1699.84,3676.08,1664.05,3504.27,1434.98,4177.17,1442.14,3783.46,1406.34,3568.7,1370.55,3389.74,1270.33,4191.49,1205.9,3862.2,1162.95,3668.92,1141.48,3475.64,1120,4277.39,998.307,4034,941.039,3897.99,905.246,3733.35
palm_123_keypoints,1306.96,4793.69,1511.91,4661.94,1687.58,4478.95,1826.65,4259.36,2031.6,4134.93,1577.78,4193.48,1636.34,3893.38,1650.98,3695.75,1629.02,3505.44,1394.79,4178.84,1402.11,3790.91,1365.52,3593.28,1336.24,3395.65,1226.44,4193.48,1167.89,3878.74,1116.65,3673.79,1102.01,3483.48,1080.05,4274,955.62,4039.77,889.743,3900.7,853.146,3739.67
palm_124_keypoints,1265.23,4676.14,1396.99,4500.47,1514.1,4273.56,1550.7,4024.7,1682.45,3827.07,1316.47,4032.02,1272.55,3746.55,1214,3563.56,1111.52,3409.85,1155.44,4083.25,994.41,3739.23,913.895,3541.6,811.42,3365.93,987.09,4171.09,804.101,3892.95,694.307,3717.27,577.193,3526.97,869.977,4288.2,650.389,4127.17,540.596,4010.06,430.802,3885.63
palm_125_keypoints,1343.59,4769.33,1497.17,4593.8,1614.19,4367.08,1658.07,4125.73,1789.72,3935.58,1402.1,4133.05,1365.53,3840.5,1292.39,3657.66,1211.94,3496.76,1233.89,4184.24,1102.24,3833.19,1007.16,3635.72,919.4,3467.51,1094.93,4257.38,904.773,3979.46,795.069,3803.93,692.678,3621.09,970.595,4381.71,765.814,4228.12,656.11,4118.42,553.72,3986.77
palm_126_keypoints,1317,4729.05,1465.6,4566.3,1585.89,4339.87,1677.88,4106.36,1812.32,3936.54,1416.07,4106.36,1394.84,3823.32,1345.31,3625.2,1253.32,3469.52,1246.24,4120.51,1140.1,3780.87,1062.27,3589.82,963.202,3419.99,1083.49,4191.27,927.823,3894.08,835.835,3724.26,743.847,3547.36,956.126,4297.41,779.227,4127.59,673.087,4007.3,566.947,3894.08
palm_127_keypoints,1238.47,4692.24,1405.37,4605.45,1565.6,4411.84,1685.77,4198.21,1886.06,4091.39,1478.81,4138.12,1572.28,3851.05,1592.31,3670.79,1578.95,3477.18,1305.23,4098.06,1358.64,3724.2,1351.96,3510.56,1331.94,3336.98,1145,4104.74,1131.65,3770.93,1098.27,3570.65,1098.27,3383.71,984.776,4171.5,871.281,3937.84,811.195,3784.28,764.462,3624.06
palm_128_keypoints,1311.3,4742.21,1483.29,4634.73,1683.93,4441.25,1855.91,4254.93,2042.22,4183.27,1655.27,4154.61,1784.25,3910.97,1841.58,3753.32,1884.57,3588.51,1483.29,4118.78,1576.44,3774.82,1597.94,3559.84,1626.6,3373.53,1318.47,4111.62,1347.13,3781.99,1354.3,3574.17,1368.63,3387.86,1146.49,4147.45,1082,3903.81,1074.83,3738.99,1067.66,3602.84
palm_129_keypoints,1301.91,4738.43,1505.73,4643.8,1687.71,4490.94,1869.69,4338.07,2088.07,4294.4,1687.71,4199.77,1855.13,3988.67,1935.21,3850.37,1978.88,3704.78,1513.01,4141.54,1636.76,3828.53,1702.27,3631.99,1745.95,3435.45,1345.59,4126.98,1396.54,3799.41,1432.94,3602.87,1476.61,3420.89,1185.44,4177.93,1134.49,3923.16,1112.65,3770.29,1112.65,3602.87
palm_12_keypoints,1103.84,4299.13,1352.05,4096.05,1540.09,3877.92,1615.3,3629.72,1555.13,3419.11,1367.1,3546.98,1359.57,3231.08,1352.05,3028,1329.49,2824.92,1201.62,3524.42,1186.58,3155.86,1171.54,2937.74,1148.97,2719.62,1043.67,3562.02,1028.63,3216.03,1028.63,3012.96,1021.11,2809.88,863.156,3607.15,863.156,3336.38,855.635,3178.43,870.678,3012.96
palm_130_keypoints,1432.03,4742.54,1642.99,4669.8,1832.13,4509.75,1999.45,4320.61,2217.69,4240.59,1766.66,4196.94,1890.33,3927.78,1948.53,3753.19,1999.45,3571.32,1592.07,4153.3,1693.92,3796.84,1715.74,3578.6,1759.39,3389.46,1417.48,4153.3,1439.3,3811.39,1461.13,3614.97,1475.68,3411.28,1242.89,4204.22,1170.14,3942.33,1126.49,3796.84,1119.22,3629.52
palm_131_keypoints,1505.57,4406.15,1727.85,4255.57,1921.45,4076.32,2072.02,3854.04,2236.94,3732.15,1871.26,3789.51,1914.28,3509.87,1921.45,3301.93,1907.11,3108.34,1713.51,3746.49,1742.19,3445.34,1778.04,3194.38,1778.04,2986.44,1562.93,3739.32,1613.13,3445.34,1634.64,3237.4,1670.49,3043.8,1433.87,3768,1448.21,3517.04,1469.72,3380.81,1519.91,3223.06
palm_132_keypoints,1471.51,4371.22,1686.8,4222.74,1872.4,4037.14,1998.61,3814.42,2169.36,3658.52,1820.43,3755.03,1835.28,3465.5,1827.86,3250.2,1805.58,3049.76,1649.68,3710.49,1649.68,3391.26,1657.1,3146.27,1649.68,2923.55,1486.35,3710.49,1523.47,3406.11,1530.9,3198.24,1545.75,2990.36,1352.72,3755.03,1352.72,3502.62,1367.57,3346.72,1412.11,3198.24
palm_133_keypoints,1442.34,4421.26,1648.99,4273.65,1789.22,4052.23,1914.69,3852.96,2091.82,3742.26,1774.46,3757.02,1803.98,3461.8,1796.6,3277.29,1774.46,3070.64,1604.71,3749.64,1634.23,3410.14,1634.23,3159.2,1619.47,2937.79,1457.1,3749.64,1486.62,3432.28,1494,3225.63,1516.14,3018.98,1309.49,3771.78,1309.49,3520.84,1316.87,3365.86,1361.16,3218.25
palm_134_keypoints,1454.04,4413.76,1676.21,4265.65,1861.36,4065.69,2024.28,3843.51,2179.81,3702.8,1779.89,3806.48,1846.54,3488.03,1853.95,3288.07,1831.73,3095.52,1624.37,3762.05,1676.21,3428.79,1683.62,3169.58,1691.02,2962.22,1461.44,3762.05,1498.47,3451,1513.28,3228.83,1557.72,3028.87,1320.73,3806.48,1305.92,3525.06,1313.32,3376.94,1328.14,3221.42
palm_135_keypoints,1434.06,4365.31,1637.38,4218.08,1826.68,4042.8,1931.85,3783.39,2008.97,3559.04,1770.6,3748.33,1819.67,3432.84,1826.68,3236.52,1812.66,3033.2,1602.33,3713.28,1651.41,3341.69,1658.42,3117.34,1658.42,2907,1448.09,3713.28,1476.13,3376.75,1490.15,3166.41,1539.23,2977.11,1293.84,3755.35,1265.8,3481.91,1265.8,3320.66,1286.83,3152.39
palm_136_keypoints,1365.46,4383.8,1583.11,4224.19,1793.5,4028.31,1938.6,3810.66,2119.97,3694.58,1699.19,3752.62,1764.48,3447.91,1778.99,3223.01,1771.74,3027.13,1532.33,3738.11,1590.37,3339.09,1590.37,3106.93,1590.37,2889.29,1372.72,3730.86,1394.48,3382.62,1401.74,3164.97,1423.5,2954.58,1220.37,3752.62,1176.84,3484.19,1176.84,3324.58,1176.84,3157.72
palm_137_keypoints,1390.21,4383.95,1615.17,4246.07,1811.11,4042.88,1956.24,3817.91,2123.15,3680.03,1724.02,3767.12,1789.34,3455.07,1796.59,3259.14,1789.34,3048.69,1557.12,3738.09,1615.17,3375.25,1629.69,3143.03,1629.69,2918.07,1411.98,3738.09,1441.01,3397.02,1462.78,3179.31,1499.06,2983.38,1259.59,3752.6,1237.82,3505.87,1237.82,3331.71,1259.59,3164.8
palm_138_keypoints,1294.01,4446.68,1518.55,4301.82,1699.63,4084.52,1858.98,3867.22,2032.82,3751.33,1634.44,3809.28,1714.11,3512.3,1750.33,3323.98,1757.57,3113.93,1460.6,3794.79,1518.55,3396.41,1518.55,3179.12,1511.3,2969.06,1294.01,3787.55,1308.49,3447.12,1315.74,3229.82,1344.71,3034.25,1134.65,3823.76,1105.68,3563.01,1091.2,3396.41,1091.2,3222.57
palm_139_keypoints,1251.72,4515.74,1472.9,4351.64,1665.53,4166.14,1815.35,3952.11,1986.58,3837.96,1594.18,3887.9,1701.2,3602.52,1736.87,3395.61,1751.14,3195.85,1422.95,3852.22,1480.03,3466.96,1480.03,3252.92,1487.16,3038.89,1251.72,3852.22,1251.72,3516.9,1237.46,3310,1244.59,3095.96,1087.63,3895.03,1023.42,3645.32,987.747,3488.36,966.343,3317.13
palm_13_keypoints,1142.07,4758.44,1389.98,4510.53,1599.16,4285.86,1645.64,4045.69,1599.16,3852.01,1420.97,3968.22,1397.73,3673.83,1366.74,3480.14,1335.75,3286.46,1235.04,3975.97,1227.29,3642.84,1188.56,3410.42,1157.57,3216.74,1080.09,4030.2,1056.85,3704.81,1049.11,3487.89,1041.36,3294.21,917.403,4092.18,909.655,3844.26,894.161,3673.83,909.655,3495.64
palm_140_keypoints,672.133,1677.37,768.707,1640.83,849.62,1572.97,904.432,1486.83,980.125,1432.02,779.147,1445.07,813.079,1325.01,831.349,1246.7,836.57,1163.18,711.285,1429.41,745.216,1296.29,760.877,1202.33,773.927,1118.81,648.642,1437.24,677.353,1311.96,695.624,1228.43,713.895,1152.74,588.61,1455.51,609.49,1343.28,625.151,1291.07,643.422,1236.26
palm_141_keypoints,466.708,1952.55,532.019,1897.69,576.43,1808.87,597.33,1701.76,633.904,1633.84,487.608,1701.76,466.708,1581.59,448.421,1505.83,424.909,1430.07,427.522,1714.82,390.948,1584.2,370.048,1490.15,349.149,1409.17,367.436,1725.27,343.924,1602.49,325.637,1526.73,309.963,1453.58,323.025,1746.17,291.676,1659.96,283.838,1599.88,283.838,1552.85
palm_142_keypoints,458.707,1908.32,549.702,1858.69,618.637,1767.69,662.756,1660.15,682.058,1563.64,557.974,1629.82,577.276,1511.25,593.821,1425.77,596.578,1343.05,489.039,1627.06,508.341,1483.68,513.855,1389.92,524.885,1312.72,422.86,1640.85,442.162,1508.49,444.92,1425.77,461.464,1348.56,356.682,1665.67,359.44,1563.64,359.44,1511.25,375.984,1453.34
palm_143_keypoints,864.706,1933.44,967.742,1893.37,1065.05,1816.09,1125.16,1713.05,1188.12,1630.05,1007.81,1672.99,1059.33,1549.91,1096.54,1472.64,1119.43,1392.5,936.258,1658.67,984.914,1506.98,1016.4,1415.4,1039.29,1340.98,864.706,1664.4,893.327,1518.43,910.499,1438.29,936.258,1363.88,790.291,1667.26,781.705,1558.5,784.567,1501.26,798.877,1435.43
