image_name,point_0_x,point_0_x,point_0_conf,point_1_x,point_1_x,point_1_conf,point_2_x,point_2_x,point_2_conf,point_3_x,point_3_x,point_3_conf,point_4_x,point_4_x,point_4_conf,point_5_x,point_5_x,point_5_conf,point_6_x,point_6_x,point_6_conf,point_7_x,point_7_x,point_7_conf,point_8_x,point_8_x,point_8_conf,point_9_x,point_9_x,point_9_conf,point_10_x,point_10_x,point_10_conf,point_11_x,point_11_x,point_11_conf,point_12_x,point_12_x,point_12_conf,point_13_x,point_13_x,point_13_conf,point_14_x,point_14_x,point_14_conf,point_15_x,point_15_x,point_15_conf,point_16_x,point_16_x,point_16_conf,point_17_x,point_17_x,point_17_conf,point_18_x,point_18_x,point_18_conf,point_19_x,point_19_x,point_19_conf,point_20_x,point_20_x,point_20_conf
palm_100_keypoints,1205,3844.49,0.546957,1417.46,3669.52,0.698119,1579.93,3469.56,0.768902,1598.68,3263.34,0.895793,1548.69,3082.13,0.79396,1417.46,3207.11,0.747517,1398.72,2950.9,0.810119,1398.72,2769.68,0.876585,1379.97,2607.21,0.836204,1267.49,3207.11,0.835996,1242.49,2900.91,0.876314,1211.25,2707.2,0.934976,1167.51,2525.98,0.828714,1136.26,3244.6,0.77761,1098.77,2957.15,0.776648,1073.77,2769.68,0.863153,1042.53,2613.46,0.894267,992.54,3307.09,0.877242,955.047,3063.38,0.875089,942.549,2932.16,0.809597,936.3,2788.43,0.783126
palm_101_keypoints,631.479,4203.12,0.30052,758.102,4022.23,0.534468,902.813,3817.22,0.804619,920.902,3612.21,0.793492,806.339,3425.29,0.843063,770.161,3563.97,0.669046,697.805,3322.79,0.808672,619.419,3153.96,0.88432,547.063,3033.36,0.833966,625.449,3582.06,0.72308,516.915,3292.64,0.895113,456.618,3129.84,0.981302,372.203,2985.13,0.791161,480.737,3630.3,0.72465,396.322,3371.02,0.793629,348.084,3208.22,0.791617,299.847,3081.6,0.809229,342.055,3708.69,0.757025,275.728,3479.56,0.807055,251.61,3371.02,0.730713,221.461,3238.37,0.832804
palm_102_keypoints,736.348,3526.53,0.514318,946.914,3392.54,0.673368,1157.48,3213.87,0.825062,1208.53,2977.79,0.869686,1151.1,2773.6,0.841817,1036.24,2926.74,0.715861,1049.01,2665.13,0.86733,1036.24,2467.32,0.820402,1004.34,2295.04,0.845282,876.725,2913.98,0.772686,889.487,2594.94,0.839562,870.344,2390.75,0.908447,838.44,2192.95,0.88138,723.587,2952.26,0.684952,736.348,2626.84,0.820573,729.967,2441.8,0.857566,723.587,2263.14,0.796729,551.306,2965.02,0.811274,570.448,2728.94,0.741657,576.829,2588.56,0.783495,589.59,2435.42,0.802235
palm_103_keypoints,653.932,3856.38,0.538372,844.672,3703.79,0.655138,1022.7,3506.69,0.795796,1054.49,3277.8,0.823491,965.474,3093.42,0.872155,863.746,3252.37,0.75405,863.746,2998.05,0.875142,819.24,2807.31,0.880747,768.376,2648.36,0.833474,711.154,3258.73,0.840092,698.438,2947.19,0.846064,660.29,2750.09,0.951262,603.068,2572.07,0.885887,583.994,3271.45,0.724826,552.204,2991.69,0.819888,520.414,2813.67,0.833073,494.982,2654.72,0.877796,450.476,3347.74,0.810927,405.97,3106.14,0.769014,393.254,2959.9,0.793509,380.538,2826.39,0.750895
palm_104_keypoints,1098.08,3920.42,0.339265,1311.08,3726.22,0.51505,1467.69,3525.75,0.576712,1480.22,3319.01,0.738172,1517.81,3156.13,0.776586,1311.08,3306.48,0.805479,1304.81,3068.43,0.823588,1267.22,2886.75,0.80458,1260.96,2736.4,0.831715,1160.72,3312.75,0.834451,1123.14,3024.57,0.906662,1110.61,2842.9,0.882013,1091.81,2680.02,0.821618,1022.9,3325.28,0.754917,997.843,3068.43,0.7929,972.785,2911.81,0.788163,966.52,2755.19,0.87286,910.138,3375.4,0.799505,860.02,3162.4,0.797822,853.756,3037.1,0.716926,860.02,2918.07,0.8784
palm_105_keypoints,1629.98,4038.64,0.514084,1841.77,3906.28,0.652821,2007.22,3714.35,0.781068,2093.26,3542.27,0.880601,2099.88,3343.72,0.922009,1888.09,3442.99,0.786389,1901.33,3217.97,0.929373,1901.33,3045.89,0.803673,1901.33,2887.05,0.823006,1742.49,3436.38,0.859935,1749.11,3171.64,0.899116,1755.73,2973.09,0.82373,1742.49,2814.25,0.888381,1623.36,3456.23,0.762601,1629.98,3211.35,0.71778,1629.98,3032.66,0.728918,1629.98,2893.67,0.895958,1484.38,3535.65,0.775506,1477.76,3310.63,0.802183,1477.76,3178.26,0.782586,1484.38,3065.75,0.856533
palm_106_keypoints,801.589,3293.19,0.520458,975.266,3160.04,0.677624,1131.58,2934.26,0.788357,1137.37,2702.69,0.767211,1067.89,2500.06,0.924353,992.634,2702.69,0.652446,963.688,2453.75,0.915733,905.795,2274.28,0.814192,836.324,2117.97,0.77823,847.903,2731.63,0.686208,790.01,2413.22,0.930379,743.696,2216.39,0.910401,685.804,2042.71,0.802002,703.172,2772.16,0.741431,651.068,2476.9,0.791149,627.911,2297.44,0.843803,598.965,2129.55,0.867576,564.23,2824.26,0.825919,535.283,2586.9,0.786066,506.337,2453.75,0.812572,500.548,2314.81,0.768921
palm_107_keypoints,994.463,4460.81,0.553267,1151.83,4303.45,0.6932,1295.51,4111.87,0.812738,1411.82,3892.93,0.882755,1576.02,3783.46,0.917793,1227.09,3838.2,0.81252,1240.77,3571.36,0.901381,1206.56,3393.47,0.75901,1186.04,3208.74,0.827105,1090.25,3817.67,0.847054,1083.41,3502.94,0.814777,1076.57,3297.69,0.845306,1035.51,3126.64,0.919033,967.095,3831.35,0.828661,967.095,3523.47,0.812036,967.095,3352.42,0.729558,946.57,3195.06,0.795231,816.574,3851.88,0.872973,796.048,3632.94,0.867718,796.048,3509.79,0.754264,809.732,3366.11,0.839242
palm_108_keypoints,550.552,2280.4,0.541598,621.377,2209.57,0.704694,678.713,2125.25,0.833126,722.557,2013.96,0.833862,800.128,1943.13,0.866058,638.241,1990.35,0.825435,634.868,1852.07,0.868887,614.632,1761.01,0.806789,587.651,1673.32,0.837395,564.042,1986.98,0.735793,550.552,1828.46,0.772649,543.806,1720.54,0.819379,523.57,1632.85,0.900487,499.962,1986.98,0.81236,496.589,1835.21,0.835077,489.844,1747.52,0.666671,476.353,1666.57,0.787412,439.254,2003.84,0.795772,419.018,1889.17,0.896219,419.018,1828.46,0.835283,419.018,1757.63,0.807558
palm_109_keypoints,555.477,2286.64,0.555166,637.906,2224.81,0.734247,699.727,2128.65,0.726973,758.115,2039.35,0.822634,850.847,1987.83,0.864391,641.34,1994.7,0.861906,637.906,1853.88,0.888753,613.864,1764.59,0.899347,582.953,1675.29,0.840801,558.911,1987.83,0.864057,552.042,1829.84,0.721695,528,1719.94,0.790409,503.958,1627.2,0.910823,497.089,2001.57,0.800309,483.351,1847.01,0.791142,473.047,1750.85,0.755659,462.744,1664.98,0.850474,421.529,2022.18,0.824046,390.618,1908.84,0.872502,380.315,1843.58,0.805449,366.577,1768.02,0.917146
